id,location,month,year,comp,heat,run 1,run 2,trick 1,trick 2,trick 3,trick 4,trick 5,trick 6
Gustavo,las vegas,10,2022,prelim men,0.5,0.5900000000000001,0.62,0.8,0.0,0.76,0.0,,
Shirai,las vegas,10,2022,prelim men,0.5,0.65,0.04,0.0,0.86,0.0,0.0,,
Foy,las vegas,10,2022,prelim men,0.5,0.1,0.6,0.79,0.0,0.0,0.0,,
Papa,las vegas,10,2022,final men,0.1,0.38,0.6599999999999999,0.0,0.0,0.8,0.0,,
Gustavo,las vegas,10,2022,final men,0.1,0.27999999999999997,0.8,0.8,0.0,0.0,0.0,,
Fynn,las vegas,10,2022,final men,0.1,0.36,0.38,0.0,0.74,0.0,0.82,,
Hoban,las vegas,10,2022,final men,0.1,0.62,0.8800000000000001,0.86,0.0,0.8800000000000001,0.0,0.0,0.0
Hoefler,las vegas,10,2022,final men,0.1,0.8400000000000001,0.5700000000000001,0.78,0.0,0.8699999999999999,0.0,0.0,0.0
Eaton,las vegas,10,2022,final men,0.1,0.6900000000000001,0.72,0.0,0.8400000000000001,0.75,0.0,,
Joslin,las vegas,10,2022,final men,0.1,0.6799999999999999,0.8300000000000001,0.79,0.8300000000000001,0.0,0.0,0.89,0.9400000000000001
Ribeiro G,las vegas,10,2022,final men,0.1,0.85,0.3,0.0,0.9199999999999999,0.8800000000000001,0.9199999999999999,0.0,0.16999999999999998
